"Block","Order","Block.1","Position","ML","Leaf.Number","Comment","Trt","Comp","Combos","Population","Species"
"1",66,1,"66","PA4.13Ip",6,"","Inter","PA 4.9 Ihed","PA 4.13 Ip-PA 4.9 Ihed","PA4","Ip"
"1",66,1,"66","PA4.9Ihed",20,"","Inter","PA 4.13 Ip","PA 4.13 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",67,1,"67A","PA4.14Ip",7,"","Inter","PA 4.2 Ihed","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ip"
"1",67,1,"67A","PA4.2Ihed",12,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",68,1,"68","PA4.15Ip",10,"","Alone","NA","NA","PA4","Ip"
"1",69,1,"69A","PA4.2Ip",10,"","Inter","PA 4.2 Ihed","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ip"
"1",69,1,"69A","PA4.2Ihed",16,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",70,1,"70","PA4.15Ip",9,"","Alone","NA","NA","PA4","Ip"
"1",71,1,"71","PA4.14Ip",16,"","Alone","NA","NA","PA4","Ip"
"1",72,1,"72","PA4.14Ip",9,"","Inter","PA 4.12 Ihed","PA 4.14 Ip-PA 4.12 Ihed","PA4","Ip"
"1",72,1,"72","PA4.12Ihed",7,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",73,1,"73","PA4.14Ip",6,"","Inter","PA 4.9 Ihed","PA 4.14 Ip-PA 4.9 Ihed","PA4","Ip"
"1",73,1,"73","PA4.9Ihed",9,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",73,1,"73A","PA4.16Ip",5,"","Inter","PA 4.15 Ihed","PA 4.16 Ip-PA 4.15 Ihed","PA4","Ip"
"1",73,1,"73A","PA4.15Ihed",8,"","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",74,1,"74","PA4.11Ip",8,"","Inter","PA 4.3 Ihed","PA 4.11 Ip-PA 4.3 Ihed","PA4","Ip"
"1",74,1,"74","PA4.3Ihed",8,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",75,1,"75A","PA4.15Ip",9,"","Inter","PA 4.15 Ihed","PA 4.15 Ip-PA 4.15 Ihed","PA4","Ip"
"1",75,1,"75A","PA4.15Ihed",14,"","Inter","PA 4.15 Ip","PA 4.15 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",77,1,"77","PA4.2Ip",7,"","Inter","PA 4.7 Ihed","PA 4.2 Ip-PA 4.7 Ihed","PA4","Ip"
"1",77,1,"77","PA4.7Ihed",22,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",78,1,"78","PA4.1Ip",10,"","Inter","PA 4.3 Ihed","PA 4.1 Ip-PA 4.3 Ihed","PA4","Ip"
"1",78,1,"78","PA4.3Ihed",5,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",79,1,"79A","PA4.13Ip",5,"","Inter","PA 4.2 Ihed","PA 4.13 Ip-PA 4.2 Ihed","PA4","Ip"
"1",79,1,"79A","PA4.2Ihed",10,"","Inter","PA 4.13 Ip","PA 4.13 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",80,1,"80","PA4.14Ip",5,"","Inter","PA 4.9 Ihed","PA 4.14 Ip-PA 4.9 Ihed","PA4","Ip"
"1",80,1,"80","PA4.9Ihed",15,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",81,1,"81","PA4.2Ip",7,"","Inter","PA 4.7 Ihed","PA 4.2 Ip-PA 4.7 Ihed","PA4","Ip"
"1",81,1,"81","PA4.7Ihed",17,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",81,1,"81A","PA4.1Ip",20,"","Inter","PA 4.2 Ihed","PA 4.1 Ip-PA 4.2 Ihed","PA4","Ip"
"1",81,1,"81A","PA4.2Ihed",17,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",82,1,"82","PA4.1Ip",16,"","Inter","PA 4.3 Ihed","PA 4.1 Ip-PA 4.3 Ihed","PA4","Ip"
"1",82,1,"82","PA4.3Ihed",21,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",83,1,"83","PA4.2Ip",16,"","Inter","PA 4.12 Ihed","PA 4.2 Ip-PA 4.12 Ihed","PA4","Ip"
"1",83,1,"83","PA4.12Ihed",10,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",83,1,"83A","PA4.16Ip",7,"","Inter","PA 4.15 Ihed","PA 4.16 Ip-PA 4.15 Ihed","PA4","Ip"
"1",83,1,"83A","PA4.15Ihed",9,"","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",84,1,"84","PA4.11Ip",6,"","Alone","NA","NA","PA4","Ip"
"1",85,1,"85","PA4.2Ip",5,"","Inter","PA 4.9 Ihed","PA 4.2 Ip-PA 4.9 Ihed","PA4","Ip"
"1",85,1,"85","PA4.9Ihed",14,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",85,1,"85A","PA4.17Ip",7,"","Inter","PA 4.2 Ihed","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ip"
"1",85,1,"85A","PA4.2Ihed",13,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ihed"
